"column_desc_details"
"(abandoned,""Account status indicating it is unclaimed possibly requiring specific regulatory reporting"")"
"(entity_nbr_type,""Usage type for entity number defining the specific application of entity identifiers"")"
"(entity_subtype,""Specific subtype designation for account entity clarifying fiduciary or business roles"")"
"(entity_type,""Generic designation of account entity type revealing personal or business fiduciary characteristics"")"
"(escrow_ind,""Indicator for escrow procedure use in withholding events providing additional security for transactions"")"
"(event,""General event category identifying transactions as income expenses or adjustments crucial for tax reporting"")"
"(event1,""Specifies event type income withholding expenses stock simplifying transaction categorization"")"
"(event_type,""Tax type WTAX indicating the nature of applicable withholding on a transaction"")"
"(exception,""Notes exceptions in retirement plan contributionsdistributions"")"
"(exchange,""Entity or venue used in handling international trade and currency exchange transactions"")"
"(exchange_list,""Notation of listed exchange ensuring securities transactions align with market rules"")"
"(exchanges,""URLbased reference for Qualified Dividend treatment updates"")"
"(exempt_override,""Event triggering change from exempt to reportable status impacting compliance"")"
"(exempt_status,""General exempt status of account holder affecting Form 1099 reporting in tax submissions"")"
"(expatriation_ind,""Indicator of former citizenship status affecting US tax responsibilities for excitizens"")"
"(factor_date_end,""End date for issuersupplied accrual period determining final revenue or recognition phases"")"
"(factor_date_start,""Start date for issuersupplied accrual period initiating revenue recognition or allocation timing"")"
"(factorid,""Unique factor record ID creating an enrichment value for reporting purposes"")"
"(factor_payment_cross_key,""Common ID linking TDS factors consolidating factors in fiscal records for completeness"")"
"(factor_type_code,""Factor type code defining status as estimated or final marking progressive or ultimate states"")"
"(family,""Defines grouping of values sharing common characteristics or purposes"")"
"(fatca_category,""FATCA category for FIsponsored entity aiding in FATCA reporting accuracy and classification"")"
"(fatca_country,""ISO numeric code of GIIN holder assuring adherence to international taxonomy and norms"")"
"(fatca_id,""Initial FATCA ID with GIIN numbering providing firstcharacter sequence for unique identification"")"
"(fatca_requirement,""FATCA requirement checkbox signaling Chapter 4 necessity effectuating 1099 form adjustments"")"
"(fatca_sub,""Specific FATCA holder description emphasizing structured compositional appointment"")"
"(fatca_type,""General type description for FATCA holder indicating highlevel tax positionality and relevance"")"
"(fatca_wth_status,""Evaluates asset income stream for FATCA withholding"")"
"(fb_id,""ID used for linking grouped forms or summaries streamlining document management and organization"")"
"(fbw_rate,""Clientassigned rate for federal backup withholding determining additional tax penalties"")"
"(fbw_status,""Status indicating federal withholding applicability on an account affecting tax responsibilities"")"
"(fca_status,""Account status indicating withholding applicability affecting net income and tax deductions"")"
"(fed_req_ind,""Stateindicated requirement on federal interest passing threshold influencing compliance standing"")"
"(fed_state_filing,""Indication of client participation in Combined Federal State Filing Program aiding efficient reporting"")"
"(fed_withholding,""ID associated with rule to determine form box threshold application"")"
"(fee_commission,""Refers to income received as commission from services"")"
"(fee_general_purpose,""Represents fees for general purposes not specifically categorized by other identifiers"")"
"(fee_handling,""Charges related to service processing or logistics management within record systems"")"
"(fee_option_prem,""Collection of option premium data reflecting shortlong call transactional histories skillfully"")"
"(fee_postage,""Expenses for mailing forms in logistical transactions"")"
"(fee_sales_charge,""Describes fees related to salesbased transactions"")"
"(fee_sec,""Regulator fee on security sales aligning with governmental cost recoveries per regulatory frameworks"")"
"(fiduciary_ind,""Indicator of fiduciary account establishing benefits for principals directing asset management responsibilities"")"
"(field_1220,""Aligned number defining field payment in 1220 filing aiding structured tax document organization"")"
"(field_attribute,""Assigned value for print handling action directing targeted outcomes in document presentation"")"
"(file_code,""File number assigned to transaction source ensuring traceability in updates and generation processes"")"
"(file_content,""Overview of general contents within the specified file"")"
"(fileid,""File ID representing attribute table location bolstering data integrity and retrieval efficiency"")"
"(file_name,""Files transmissionstandardbased name facilitating accurate exchange or upload operations"")"
"(file_nm,""Notice file attachment for compliance under form 1446F"")"
"(file_nm1,""Attached notice file regarding 1446F procedural adherence"")"
"(filing_corr_reason,""Justification for filing corrections explaining reasons and necessity for record amendment"")"
"(filing_record_type,""File record type encompassing jurisdictional submission requirements aiding electronic filings"")"
"(filing_value,""Specific value representing filingrelated determinants purposefully"")"
"(filing_void_reason,""Explanation for voided filling categorizing reasons and grounds for document elimination"")"
"(filter_from_rec,""Indicator used for applying filter conditions within data queries"")"
"(first_name,""First name of primary account holder key to essential identification and formal correspondence"")"
"(fiscal_year,""Ending fiscal year for account holder aligning tax assessments with calendar terminus constraints"")"
"(fmv,""Aggregate market value for assets fostering evaluative insight and fiscal standing elucidation"")"
"(fmv_adj,""Modified current market evaluation recalibrating asset values alongside verified changes"")"
"(fmv_orig,""Recorded original cost of an asset substantiating fiscal expenditure recognition reflected"")"
"(fmv_original,""The original value at which a financial position was acquired recorded for audit"")"
"(fmv_type,""The typical market value category employed for IRS Form 5498 reporting"")"
"(footnote_cd,""A clientcontributed explanatory footnote used for additional record context"")"
"(footnote_ts,""A transactionlevel note generated through Broadridge tax services for detailed insight"")"
"(foreign_addr_ind,""Indicator determining if an address is located outside the United States for IRS purposes"")"
"(foreign_entity_ind,""An IRS indicator for foreign payer status impacting US tax implications"")"
"(form_1099,""Default IRSdefined form type for asset use"")"
"(form_8966_ind,""Indicator if FATCA reporting uses IRS Form 1099 or Form 8966 for compliance"")"
"(form_agy,""Form issued by jurisdictionrepresentative agency for compliance checking"")"
"(formbox_comments,""Freeform comments about a forms attributes or associated events"")"
"(form_control_nbr,""Official IRS form number given by OMB for control tracking"")"
"(form_desc,""Official jurisdiction name of the tax form"")"
"(form_package_id,""Common ID linking forms mailed in consolidated package productions"")"
"(form_prefix,""Identifier prefix for form series associated with filing agency"")"
"(form_series,""Series classification of forms under IRS protocol"")"
"(formsumid,""Record ID linking events to specific form elements"")"
"(form_threshold,""Field reported despite being under threshold due to related context"")"
"(form_type,""Overrides on payer default profile for account statements"")"
"(fpa_inc,""Indicates inclusionexclusion of account holder from service"")"
"(ftin,""Foreignissued taxpayer identification number outside the US"")"
"(ftin2,""Foreign TIN of secondary account holder includes Canadian TIN"")"
"(ftin2_country,""Country code of issuance for a foreign TIN"")"
"(ftin2_type,""Type of foreignissued TIN includes Canadian TIN types"")"
"(ftin_country,""Geographical ISO codes for foreign TIN issuances"")"
"(ftin_country2,""Secondary country code for foreign TIN issuance"")"
"(ftin_type,""Types of foreignissued TIN incorporating Canadian classifications"")"
"(fx_fxrate,""Currency conversion rate applied for financial transactions"")"
"(fxrate,""Standard rate for currency conversions in transactions"")"
"(fx_rate_close,""FX rate applicable at the time of transaction movement"")"
"(fxrateid,""Unique ID for currency rate record management in databases"")"
"(fx_rate_open,""FX rate at time of foreign exchangerelated transaction movement"")"
"(gain_loss,""Amount recognized as profit or loss upon tax lot closure"")"
"(gift_ind,""Indicates attribute application in label usage protocols within settings"")"
"(gift_inheritance_id,""Indicates asset status regarding gift or inheritance tax considerations"")"
"(giin,""Account holders Global Intermediary Identification Number GIIN"")"
"(gl_inc_ind,""Override on gainloss inclusion standard for account holders"")"
"(g_num,""Number identifying stored file instances in the system"")"
"(grandfathered,""Status defining FATCA rule exemption eligibility through grandfathering process"")"
"(grandfathered_obl_status_for_fatca,""Assesses exemption status under FATCA grandfathering provisions"")"
"(group_id,""ID linking similar tax lots of the same security using 8949 attributes"")"
"(household_over,""Account holderlevel override adjustments to standard defaults"")"
"(household_primary,""Primary account linking related household accounts for payee"")"
"(hp_date_end,""End date of open lot ID for transaction recording"")"
"(hp_date_start,""Commencement date for an open lot ID under audit"")"
"(ici,""Code within ICI files for statelevel taxexempt income reporting accuracy"")"
"(ie_elig,""Eligible event for posting in enrichment data tables"")"
"(imy_id,""Identification marking a records association with an intermediary"")"
"(imy_type,""Classification of intermediaries acting on behalf of persons"")"
"(inc_code_over,""Override code for reduced withholding by treaty without TIN"")"
"(inc_exc,""Notes indicating attribute inclusionexclusion in a rule"")"
"(inc_internal_tranids,""Updated table IDs eligible for transactional data enrichment"")"
"(inc_internal_tranids_nochange,""Table IDs marked for enrichment yet unchanged in status"")"
"(inclusion_ind,""Indicates includeexclude rule operation based on parameters"")"
"(income_1099_type,""Specifies default income classification by tax data services for asset management"")"
"(incomecode,""IRS code for nonresident alien reporting requirements"")"
"(incomeid,""Unique identifier for personal jurisdiction income records"")"
"(inc_type,""Withholding tax type classification applicable to transactions"")"
"(ind_8966,""Indicator for accounts under IRS FATCA Form 8966 reporting rules"")"
"(information,""Defines field usage and provides usage instructions"")"
"(inheritance_ind,""Shows involvement in an inheritancebased transaction event"")"
"(input_source,""Original transaction source creating the enrichment dataset"")"
"(internal_tranid,""Surrogate key values linking records to input source ID"")"
"(internal_tranids,""Surrogate keys of source tables used in IRS record creation"")"
"(internet_extension,""Internet extensions for countrydomaincoding in service domains helpfully"")"
"(ip_ind,""Indicator for use of interested party mailings by account holders"")"
"(irs,""Standardized IRS code representing specific countries"")"
"(irs_form,""TDS value indicating form level for IRS payment type events"")"
"(irs_form_box1,""TDS value for box level on IRS payment type events"")"
"(irs_name,""Description of country per IRS guidelines for international records"")"
"(irs_name1,""Primary beneficial account holder name under IRS filings"")"
"(irs_name2,""Secondary beneficial account holder name for IRS filings"")"
"(irs_name3,""Third beneficial account holder name for IRS compliance"")"
"(irs_primary,""Identifies primary IRS country code amidst multisovereign listings"")"
"(isin,""International Securities Identification Number ISIN compliance"")"
"(issuer_cd,""Identification of issuer management company for securities"")"
"(issuer_rate,""Corporate action rate per share as per issuer announcement"")"
"(jnl_ind,""Marks transaction as representing stock movements like transfers and receives"")"
"(juris,""Specifies transaction source jurisdiction via underlying assets"")"
"(knock_out_reason,""Code identifying reasons for form unavailability or restrictions"")"
"(last_date_printed,""Last date record printing was confirmed"")"
"(last_date_transmitted,""Date of records last transmission to jurisdiction"")"
"(last_file_ind,""Marker for final year of payer name and TIN IRS filings"")"
"(last_name,""Primary account holders surname for IRS formal records"")"
"(lgr_id,""Clientsupplied ID for tracking events to backoffice ledger"")"
"(life_expectancy_factor,""Factor from IRS Uniform Lifetime Table for RMD purposes"")"
"(link_1441,""URLlinked variable indicating credit interest eligibility reporting"")"
"(link_active_ind,""Marks link settings as rule or exceptiondriven"")"
"(link_id,""Identifier linking associated events within database systems"")"
"(linking_dom,""Indicates if transaction is linked to US federal or state withholding"")"
"(linking_fng,""Eligibility for atsource foreign tax withholding on transactions"")"
"(linking_nra,""Identifies FATCArelated withholding eligibility for transactions"")"
"(lob,""Account number for treaty benefits application under IRS protocols"")"
"(locality,""Locality name for deposited withholding by IRS regulations"")"
"(local_st_req_ind,""Statelocal interest dividend threshold met per IRS standards"")"
"(locator_cd,""Code defining mailing region based on country code"")"
"(loc_status,""Status indicating if an account is subject to IRS withholding"")"
"(logo,""Clientsupplied logo ID for entity on IRS documents"")"
"(long_desc,""Detailed version of transaction type definition aiding comprehensive understanding"")"
"(long_short,""General indication of long or short position in trades"")"
"(long_short_ind,""Indicates if lot status is open long or open short in categorization"")"
"(longshort_ind,""Assignments indicating long or shortderived activity"")"
"(lot_id_close,""ID associated with closing transactions on a tax lot"")"
"(lot_id_open,""Clientprovided ID for representing opening side within tax lot contexts"")"
"(lot_relief_ind,""Accounting method for tax lot sales impacting capital gains tax reporting"")"
"(ltc_contract,""Qualified longterm care contract number under IRS records"")"
"(margin_notes_buys,""Notes related to purchase transaction margin considerations"")"
"(margin_notes_sales,""Commentary notes tracking salesrelated margin implications"")"
"(market_disc_amt,""Amount of market discount reported on Form 1099B per client election"")"
"(matched,""Signifies that data elements meet predefined matching criteria"")"
"(match_flag,""Flag indicating payment match to corporate action events"")"
"(match_id,""Transaction ID linked to cancellation processes"")"
"(match_key,""Table ID identifying issuer announcements in corporate actions"")"
"(match_score,""Value determined for match accuracy of dates rates and classification"")"
"(match_type,""Value showing type of match performed on record processes"")"
"(material_modify_doc_link,""Documents affecting FATCA grandfathering due to changes"")"
"(matrix_level,""Structure organizing relationships in data elements"")"
"(mc_ind,""Incremental indicator on record updates due to material changes"")"
"(md_inc,""Election for market discount inclusion or deferral by holders"")"
"(md_method,""Chosen method for market discount amortization by account holders"")"
"(memo,""Denoted location or position of the asset for record clarity"")"
"(mlp_inc,""Indicator for account holder inclusionexclusion from service roles"")"
"(mmdd_begin,""Month and day start for recurring event cycles"")"
"(mmdd_end,""Month and day end date for concluding recurring cycles"")"
"(movementid,""Unique database record ID within transactional movements"")"
"(movement_type,""Transaction type attributes within cash matrices under IRS rules"")"
"(mov_type,""General identification of stock or trade event classification"")"
"(msdid,""Unique database ID linked within the client core environment ensuring precise record tracking and operational accuracy"")"
"(mtm_year,""Year marking clients eligibility for IRS marktomarket taxation requirements influencing tax calculation and compliance measures"")"
"(multi_cur,""Indicates support for multiple currencies in currency code table definitions"")"
"(nadrsid,""Unique database identifier within client core systems supporting IRS audit processes and transaction accuracy verification"")"
"(naelecid,""Database ID essential for accurate record management within client core systems facilitating IRS auditing and compliance"")"
"(name_3166,""Identifies country status impacting compliance and regulatory standards"")"
"(name_aka,""A nonofficial reference to a country not listed in standard publications"")"
"(name_control,""Fourcharacter field used for matching records within IRS systems crucial for accurate namebased documentation and filings"")"
"(name_logo_ind,""Indicates if the reference entitys logo is displayed in documentation aligning with IRS submission guidelines"")"
"(name_official,""Official ISOdefined country name for standard use"")"
"(napid,""Unique identifier for records in client core database systems reinforcing IRS records integrity and transparency"")"
"(napid_hse,""Document ID corresponding to household account within consolidated tax packages"")"
"(napid_slv,""Entity ID acting as sleeve controller in primary account allocations"")"
"(narefid,""PJMAassigned value depicting unique entity records essential for accurate IRS database management and referencing"")"
"(narefid_imy,""Record ID for intermediary role within specific tax packages"")"
"(narefid_nip,""Unique schedule ID within WTAX processes for timing coordination"")"
"(narefid_pay,""Identifier for the payer or withholding agent related to specific activitiesforms"")"
"(narefid_payeralt,""Alternate ID for payer associated with specific activityForm"")"
"(narefid_primary,""Unique identifier for primary payeragent on records"")"
"(narefid_pyd,""Identifier for alternate payer linked to specified activities"")"
"(narefid_rep,""Entity ID for the registered representative assigned record events"")"
"(narefid_stt,""Reference ID of State payer assigned to specific financial events"")"
"(narefid_tmt,""Reference ID for transmitter associated with events"")"
"(nasid,""Unique database ID ensuring precise record management within client core environments supporting IRS compliance frameworks"")"
"(nastid,""Unique database identifier within client core environment essential for facilitating IRS auditing and record synchronization"")"
"(nature_primary,""Defines primary characteristic of transaction types within assessments"")"
"(nature_secondary,""Defines characteristics of transaction types when primary data attributes are unavailable"")"
"(net_pro_ind,""Indicator evaluating net proceeds acknowledging exercised noncompensatory options within IRS security transaction evaluations"")"
"(network_level,""Barrington indicator denoting the funds position within a network assisting IRS regulatory compliance and recordkeeping"")"
"(nmb_ind,""Indicator for cessation of business operations signaling the conclusion of filing obligations and IRS database updates"")"
"(nmw_inc,""Determines inclusion or exclusion of account holder in service aligning with IRS standards for reporting and compliance"")"
"(nobo_ind,""Status indicator reflecting accounts inclusiondiscussion protocols within proxy voting procedures for IRS submission standards"")"
"(no_loss_ind,""Corporate action signal indicating prohibited loss identification ensuring compliance with IRS regulations on taxable events"")"
"(no_mail_ind,""Indicator flagging account to generate statements without mailing complying with IRS electronic accessibility requirements"")"
"(no_mail_reason_cd,""Code explaining why a statement is not mailed required for compliance and electronic record access per IRS guidelines"")"
"(non_cash_ind,""Determines applicability of events to cash payments or recorded events in IRS tax documentation and regulatory compliance"")"
"(no_security_id,""Identifies assets not linked to traditional security identifiers"")"
"(notecode1,""Clientsupplied code for supplementary annotation in records aligning with IRS standards for documentation and corresponding support"")"
"(notecode2,""Second clientsupplied code for additional contextual notes in records critical for IRS documentation requirements and audit trails"")"
"(notecode3,""Third clientsupplied note code informing IRS records providing contextual enrichment for compliance documentation processes"")"
"(notecode4,""Fourth clientsupplied code noting additional context in IRS records essential for comprehensive audit documentation and analysis"")"
"(not_reconciled,""Indicates status of unresolved reconciliation between cost basis and corresponding trade records"")"
"(nra_apply,""Influences transaction classification within NonResident Alien rule process"")"
"(nra_exempt,""Indicator for eligibility of NRA withholding exemption critical in processing nonresident alien tax compliance under IRS oversight"")"
"(nra_ir_proc,""Override indicator for payers default NRA classification process supporting customized compliance per IRS standards and regulations"")"
"(nra_rate_bnd,""Userdefined rate for NRA tax on bond interests critical for personalized IRS reporting and compliance strategies concerning bonds"")"
"(nra_rate_eqt,""Userspecified NRA tax rate on dividends assisting IRS reporting procedures and compliance across investment income structures"")"
"(nra_rate_firpta,""NRA tax rate for FIRPTA gains clientdefined shaping investment gain reporting per IRS standards for nonresident transactions"")"
"(nra_rate_mlp,""Clientdefined NRA rate on partnership distributions influencing IRS tax compliance and strategic financial reporting mechanisms"")"
"(nra_rate_ret,""Defined rate for NRA tax on REIT earnings ensuring compliance with IRS regulations on real estate investment income"")"
"(nra_rate_roy,""Custom rate for NRA tax on royalties critical under IRS rules governing revenue from intellectual property licensing or exploitation"")"
"(nra_rule,""Designates account holders NRA reporting or withholding requirements essential for IRS tax compliance and detailed recordkeeping"")"
"(nra_status,""Status indicator of account subject to withholding fundamental for IRS reporting and tax obligations on foreign transactions"")"
"(nra_tin,""Indicates submission of TIN or FTIN by account holder vital for IRS compliance and identification in crossborder transactions"")"
"(nra_wth_status,""Evaluated withholding status on nonUS income streams"")"
"(nr_post,""Flags event participation in gifting transactions within systems planning"")"
"(numeric_3166,""Threecharacter ISO numeric code for country delineation"")"
"(ofac_pcnt,""Probability percentage from OFAC list checks related to IRS filings critical for ensuring compliance with financial sanction laws"")"
"(oid_inc,""Determines account holders service inclusionexclusion for IRS reporting shaping tax obligation assessments and procedural compliance"")"
"(oid_ind,""Securitys subject status to OID reporting crucial for IRS tax compliance and transaction recordkeeping practices"")"
"(open_close,""Specifies if activity is opening or closing in nature"")"
"(open_status,""Status indicating if account is open closed or transitional necessary for IRS compliance checks and documentation processes"")"
"(option_root,""Symbol for underlying stock or ETF linked to options aiding IRS record organization and compliance verification in financial markets"")"
"(option_type,""Option classification indicating IRS tracking specifics essential for compliance documentation within derivative markets"")"
"(opt_open_close,""Designates if transaction event opens or closes a position impacting IRS compliance and required reporting adjustments"")"
"(opt_prem_pd,""Original security ID for closing operations under alternative security transactions"")"
"(opt_prem_rec,""Value of option premium from transactions such as short callsputs"")"
"(ordinary,""Eligibility for ordinary income under cost basis rules vital for IRS calculation processes on income tax liabilities"")"
"(orig_1099,""Clientdirected override for creating original Form 1099 influencing IRS compliance and personalized tax reporting execution"")"
"(orig_480,""Override for initiating original Form 480 processes tailored to IRS requirements for personalized tax obligations"")"
"(orig_5498,""Override impacting creation of Form 5498 essential for addressing IRS compliance through tailored tax reporting obligations"")"
"(other,""General term for nonstandard retirement transactions"")"
"(other_agent,""Indicator if withholding performed by alternative agent necessary for IRS reconciliation and enforcement of tax responsibilities"")"
"(outputtype,""Designation of output type generated crucial for IRS compliance and report analysis in financial systems"")"
"(over_ind,""Indicator when a recorded value is overridden highlighting changes in IRS processes and documentation"")"
"(override_cd,""Specifies reason for exempt events reporting illustrating exceptions in IRS filing responsibilities"")"
"(over_under_cd,""Difference between actual and statutory withholding Fxrates crucial for IRS compliance checks and financial reporting"")"
"(part_full,""Marks transaction as partial recurring or total event"")"
"(payee_adr_id,""Record ID linked to address used for IRS transmittal generation activities"")"
"(payee_id,""Record ID associated with account holder for identification and tracking"")"
"(payee_irp_id,""Record ID for address data in form generation context"")"
"(payee_mlg_id,""Identification number for address in mail generation"")"
"(payee_tmpadr_id,""Temporary address ID for mailing references in records when applicable"")"
"(payer,""Identifies clients payer essential for IRS documentation and defining financial responsibility among transactions"")"
"(payer_agent_ind,""Indicates if payer is also withholding agent for 1187 filings aligning with IRS roles and rules"")"
"(payer_alt,""Records alternate payer ID associated with formsactivities vital for IRS compliance and reporting"")"
"(pay_freq,""Frequency of security income payments determining periodic tax obligations and projections in IRS overviews"")"
"(payment_condition,""Special payment considerations per issuer announcement requiring IRS documentation adjustments in fiscal transactions"")"
"(payment_date,""Notice date associated with income distribution under 1446F"")"
"(payment_percent_calc,""Guides reclassification efforts vital for IRS realignment and financial documentation accuracy"")"
"(payment_type,""Defines classifications per issuer announcement critical for IRS compliance and clarity in tax records"")"
"(payment_type_calc,""Reclassification rates determine IRS reports and compliance across defined transaction digit equations"")"
"(payment_type_code,""Compiles paymenttax type codes critical for IRS classification and detailed financial record compliance"")"
"(pay_rate,""Pershare rate allocated by issuer important for IRS transaction analysis and tax documentation"")"
"(pay_tax_percent,""Percentage allocated to paymenttax type by issuer crucial for IRS compliance and reporting"")"
"(pdel_ind,""Print delivery status as per IRS requirements strengthening compliance checks and record visibility"")"
"(pdel_supp,""Receives statements beyond print standards reflecting IRS documentation accessibility requirements"")"
"(pdf_fixed_box_1,""Drives box value to viewable PDF aiding IRS document accessibility and data verification"")"
"(pd_match,""Match indicator between issuerclient pay dates essential for IRS audit paths and compliance checks"")"
"(percentage,""Percentage used for transaction box data aiding IRS calculations for precise reporting and allocations"")"
"(pfclid,""Unique PJMA table ID vital for IRS audits and ensuring transactional transparency"")"
"(pj_box,""BRTSassigned value vital for IRS reporting and document generation"")"
"(pj_cc,""Country description using IRSsourced PJ code"")"
"(pj_cc_id,""Threecharacter country ID following ISO Alpha 3 or PJMA proprietary standard"")"
"(pj_cur_id,""Currency code assigned in PJMA systems based on standards"")"
"(pjfact30_cross_key,""Common ID linking TDS factors ensuring clarity within IRS data procedures"")"
"(pjfact31_cross_key,""Common ID associating TDS factors essential for IRS compliant integration in data systems"")"
"(pjfact_cross_key,""TDS factor linkage ID underpinning IRS compliance and data association standards"")"
"(pj_form_nbr,""Internally assigned form number correlating with jurisdictional control numbers aiding IRS filing"")"
"(pjtxdiv_match_key,""Unique table ID identifying issuer announcements in corporate action matches aiding IRS procedures"")"
"(plan_id,""Retirement plan ID crucial for accurate IRS documentation and taxcompliant benefit management"")"
"(pool_cnt_8966,""Number of accounts in 8966 pool central for IRS tracking under FATCA guidelines"")"
"(pool_id,""Assigned pool number linking mixedmultirate pools supporting IRS compliance in financial tracking"")"
"(pool_type,""Categorized pools with varied withholding rates necessary for IRS tax record accuracy"")"
"(predecessor_indicator,""Indicates if a security is subject to merger or consolidation events"")"
"(prefix,""Categorizes transaction types within family buckets"")"
"(prem_ovr,""Override affecting payers section default ensuring IRS document consistency across accounts"")"
"(pr_exmpt_ind,""Exempt status indicator for Hacienda forms important for IRS international documentation"")"
"(price,""Executed transaction price documented for IRS tax liability assessments and investment record integrity"")"
"(price_adj,""Adjusted price postoriginal stock record essential for IRS tax calculation and compliance"")"
"(price_close,""Final price of a closing financial event"")"
"(price_close_orig,""Initial closing price before subsequent purchase adjustments"")"
"(price_open,""Price observed upon open events within security management"")"
"(price_open_orig,""Initial open price before purchase adjustments for evaluations"")"
"(price_orig,""Original asset market price used by IRS for cost basis essential in tax liability assessment and record precision"")"
"(price_src,""Source of supplied price critical for IRS compliance in pricing documentation processes"")"
"(pricing_method,""Defines how pricing is determined or enacted within operational methodologies"")"
"(print_ready,""Status indicating if the record is printed as original or corrected"")"
"(print_type,""Specification guiding print or edelivery of control records based on preferences"")"
"(proceeds_unk,""Transaction cost reflecting premiums on options assignment or exercises or other conversions"")"
"(product_type,""Asset classification assisting IRS categorization in financial regulation and compliance assessments"")"
"(prohibited,""Prohibited status classification for qualified plans aiding IRS investment compliance"")"
"(prop_sec,""Proprietary security type identifier key for IRS classification and recordkeeping"")"
"(prospectus_link_available,""Status mark referring to prospectussupplement availability effectively"")"
"(province,""Issuers province necessary for IRS jurisdictional compliance in financial documentation"")"
"(province_cd,""Province code for located foreign countries like CanadaAustralia supporting IRS jurisdiction requirements"")"
"(pte,""Passthrough entity recognition essential for IRS tax evaluations and compliance standards"")"
"(pub17_treaty,""Eligibility criteria for a country determining qualified dividend treatment under certain IRS conditions"")"
"(purchase_cost,""Total amount paid for holding period ID crucial for IRS cost basis calculations"")"
"(put_call,""Put or call option classification critical for IRS valuation within derivative markets"")"
"(qdd,""Disclosure of qualified derivatives dealer status essential for IRS compliance documentation"")"
"(qi_15a,""Entity assumes primary withholding responsibility under Chapters 3 and 4 as per IRS requirements"")"
"(qi_15b,""Entity assumes 1099 reportingbackup withholding responsibility for IRS document accuracy"")"
"(qi_15c,""Entity does not assume primary Form 1099 reporting and backup withholding responsibilities ensuring IRS compliance adjustments"")"
"(qi_15d,""Entity allocates Chapter 4 withholding payments does not assume Form 1099 reportingbackup responsibilities under IRS rules"")"
"(qi_15e,""Holders of intermediariesflowthroughs not assuming primary IRS Form 1099backup withholding responsibilities"")"
"(qi_15f,""Entity acts as qualified securities lender of US substitute dividends meeting IRS withholding criteria"")"
"(qi_15g,""Assumes primary withholdingreporting responsibilities under IRS Chapters 34 including Form 1099 duties"")"
"(qie_ind,""Classification as Qualified Investment Entity influencing IRS documentation and tax obligations"")"
"(qof_ind,""Marks assets or investments as within a qualified opportunity fund"")"
"(qsl,""Disclosure of qualified securities lender status coordinating IRS compliance and reporting obligations"")"
"(qty_settle,""Quantity of security settled crucial for IRS tracking influencing tax liability and transactional integrity"")"
"(qty_trade,""Quantity of security traded vital for IRS transactional compliance and determining tax implications on trades"")"
"(qualified_status,""Status indicating qualification of dividend interest affecting IRS tax credits and reporting"")"
"(qual_plan_agent,""Designates agent managing plan operations if not client crucial for IRS retirement plan compliance"")"
"(qual_plan_sub,""Specific designation within qualified plan type affecting IRS compliance and taxation expectations"")"
"(qual_plan_trustee,""Trustee designation required if different from client essential for IRS plan management and compliance"")"
"(qual_plan_type,""Type of retirementqualified plan defining IRS standards for compliance and tax privileges"")"
"(quantity,""Number of sharesunits held impacting IRS record and transactional tax evaluations"")"
"(rate,""Rate at which dividends are distributed to shareholders"")"
"(rd_match,""Match indicator between issuerclient record dates essential for IRS documentation compliance"")"
"(real_cy,""Current year realized gainloss for 1256 option evaluations"")"
"(reason_code,""General description of event cause aiding classification and IRS document adjustments"")"
"(reason_code_end,""Event ending an accrual period categorizes IRSdocument finality in tax compliance"")"
"(reason_code_fnf,""Explanation of events affecting pending final status code resolution"")"
"(reason_code_fnf_prev,""Provides explanations impacting prior status codes aiding comprehensive transaction understanding"")"
"(reason_code_start,""Event starting an accrual period key in initiating compliant IRS record timelines"")"
"(rebill_id,""Marks actions toward rebilling in transaction cycles linked with service or product adjustments"")"
"(recid,""Distinct PJMA record ID for systematic tracking and reference integrity"")"
"(recip_type,""Value assigned for filings with Canadian Revenue Agency supports IRSCRA coordination"")"
"(reclass_status,""Reclass event status reflecting IRS approval lifecycle stages in financial reporting"")"
"(recon_bypass_id,""Client profile setting ID for reconciliation bypass in cost basis assessments"")"
"(recon_cd,""Instruction for reconciliation excluding fields like Quantity and Amount"")"
"(recon_id,""Recon ID ensures traceability of tax lots aiding IRS audit accuracy and maintaining comprehensive tax records"")"
"(recon_rule_id,""Unique ID for client profile in cost basis processing"")"
"(record_count,""Count of records aggregating amount fields representing IRS focused reporting"")"
"(record_date,""Date of distribution notice for 1446F tax reporting and compliance"")"
"(records_sent,""Verification of records dispatched for intended processes"")"
"(record_status,""Processing status of a record necessary for IRS transaction compliance and documentation"")"
"(record_type,""Value assigned to distinguish events or accounts in Tax Data Services application"")"
"(rec_type_code,""Factors aligned to TDS Service Code processes critical for IRS consistent reporting"")"
"(ref_id,""Aligns owner of account rule or entity enhancing IRS declarative record strategies"")"
"(ref_secid,""Reference ID for securities in financial activities"")"
"(ref_secid_type,""Classification of security ID type in referenced security identification"")"
"(ref_type,""Whether reference security is underlying or contra crucial for IRS record integration"")"
"(reg_name1,""Primary registration name for forms crucial for accurate IRS submissions and ensuring compliance in documentation"")"
"(reg_name2,""Secondary registration name presented in IRS forms backing ARS mainstreams"")"
"(reg_name3,""Third registration name for forms supports IRS reporting alongside established reference strands"")"
"(reg_name4,""Fourth registration name for form presentation aligning with parallel IRS regulatory expectations"")"
"(reinvest_id,""Flags the reinvestment status in fiscal engagements competently"")"
"(related_primary,""Account to which exempt entities eg 8966 or subaccounts are associated for IRS tracing and compliance"")"
